name,label_malagasy,label_french,label_english
702,"Nutmeg, mace ary cardamoms","Noix de muscade, macis et cardamomes","Nutmeg, mace and cardamoms"
234,Voanjo,Noix,Nuts
75,Oats,Avoine,Oats
254,Voankazo palmie,Fruits du palmier à huile,Oil palm fruit
430,Okra,Gombo,Okra
260,Oliva,Olives,Olives
490,voasary,Oranges,Oranges
600,Papayas,Papayes,Papayas
534,paiso sy nectarine,Pêches et nectarines,Peaches and nectarines
521,Pears,Poires,Pears
687,Pepper (piper spp.),Poivre (piper spp.),Pepper (piper spp.)
748,Pepper mint,Menthe poivrée,Peppermint
587,Persimmons,Plaquemines,Persimmons
197,Pois cajanus,Pois cajans,Pigeon peas
574,Mananasy,Ananas,Pineapples
223,voanio,Pistaches,Pistachios
489,Plantains sy ny hafa,Bananes plantains et autres,Plantains and others
536,Prunes et prunelles,Prunes et prunelles,Plums and sloes
296,Poppy voa,Graine de pavot,Poppy seed
116,ovy,Pommes de terre,Potatoes
211,legioma,Légumineuses,Pulses
394,"Voatavo, voatavo ary voatavo","Citrouilles, courges et courges","Pumpkins, squash and gourds"
523,Quinces,Coings,Quinces
92,Quinoa,Quinoa,Quinoa
788,Ramie,Ramie,Ramie
270,fanolanana,Graine de colza,Rapeseed
547,voaroy,Ronces,Raspberries
27,"Vary, vary","Riz, paddy","Rice, paddy"
71,ampemby,Seigle,Rye
280,Graines de carthame,Graines de carthame,Safflower seed
328,Voa landihazo,Coton en graine,Seed cotton
289,Sesame voa,Graines de sésame,Sesame seed
263,Shea nut (karité),Noix de karité (karité),Shea nuts (karite nuts)
789,Sisal,Sisal,Sisal
83,ampemby,Sorgho,Sorghum
530,Sour serizy,Cerises aigres,Sour cherries
236,soja,Soja,Soybeans
723,zava-manitra,Épices,Spices
373,Epinara,Épinards,Spinach
541,Voankazo vato,Fruits à noyau,Stone fruit
544,frezy,Fraises,Strawberries
423,Haricot vert,Haricots verts,String beans
157,siramamy avy amin'ny betiravy,Betterave à sucre,Sugar beet
156,Fary,Canne à sucre,Sugar cane
267,Voa voninkazo masoandro,Graines de tournesol,Sunflower seed
531,cherries,Cerises,Sweet cherries
122,Ovy mamy,Patates douces,Sweet potatoes
305,Tallowtree voa,Graine de tallowtree,Tallowtree seed
495,"Mandarins, clementines, satsumas","Mandarines, clémentines, satsumas","Tangerines, mandarins, clementines, satsumas"
136,Taro (cocoyam),Taro (cocoyam),Taro (cocoyam)
667,Dite,Thé,Tea
388,Voatabia,Tomates,Tomatoes
97,Triticale,Triticale,Triticale
603,Voankazo tropikaly vaovao,Fruits tropicaux frais,Tropical fresh fruit
275,Tung nut,Noix de tung,Tung nuts
826,Paraky tsy vita,Tabac non manufacturé,Unmanufactured tobacco
692,Vanilla,Vanille,Vanilla
205,mampieboebo,Vesses,Vetches
222,"Voanjo, misy akorandriaka","Noix, avec coque","Walnuts, with shell"
567,pasteky,Pastèques,Watermelons
15,VARY,Blé,Wheat
137,oviala,Igname,Yams
135,Yautia (cocoyam),Yautia (cocoyam),Yautia (cocoyam)
77771,Hafa,Autres,Other 1
800,Fibre agave hafa,Autres fibres d'agave,Other agave fibres
782,Fibre hazo hafa,Autres fibres ligneuses,Other bastfibres
108,Sakafo hafa,Autres céréales,Other cereals
821,Ny voly fibra hafa,Autres cultures fibreuses,Other fibre crops
339,menaka hafa,Autres oléagineux,Other oilseeds
149,Ny fakany sy ny tubers hafa,Autres racines et tubercules,Other roots and tubers
161,Fambolena siramamy hafa,Autres cultures sucrières,Other sugar crops
777770,Voankazo hafa,Autres fruits,Other Fruits
777771,Legioma hafa,Autres légumes,Other Vegetables
